"ID","Ref","Created","Updated","Name","Description","Scope of works","Status","Priority","Property Ref","Property Client Ref","Property Name","Property Account Manager","Property Certification Date","Client Ref","Client","Primary Contact Name","Primary Contact Email","Contractor","Task Value","Category","Tags","Address","Site Suburb","Postal code","Assigned Technician","Supporting Technicians","Assigned Office","Technician","Salesperson","Round","Due","Due After","Scheduled Date","Performed Date","Completed Date","On-site Date","SLA","Due (on site)","Due (performed)","Time to Site (SLA)","Time to Performed (SLA)","Authorisation Ref","Authorisation Amount","Contractor Authorisation Limit","Workorder URL","Internal Note","Invoice Note","Technician Note","Latitude","Longitude","Access Procedure","Access Note","Access Code","Access Schedule","Access Window","Is Active","Deleted","Invoiced","Inactive Date","Billing Card Ref","Billing Card Name","Branch","Cost Centre","Service Group","Zone","Est. Duration","Author","Updated By","Parent Task","Minor Job"
41362,"T-41362","2026-04-21 08:39:08","2026-04-21 13:23:19","QD-2614 - FI... Works","FIP Annual defect repairs","Dear Customer,

We hope you're doing well. Following our routine annual testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below: 


If you have any questions or need further clarification, feel free to reach out.
Thank you for your understanding and continued support.","PERFORMED",5,"39413 AU543","","Goodman AU543 - 33-38 Quarry Road (Bld B, Bld C & Bld D), Erskine Park, NSW 2759","","2021-03-24","","Goodman Property Services (Aust) Pty Limited SC01822","Michael Berger","Michael.Berger@goodman.com","",0.0000,"Repair","","33-38 Quarry Road Building B,&C & D, Erskine Park, NSW, 2759, Australia","Erskine Park","2759","Gordon Jenkins","","","Gordon Jenkins","","","","","2026-04-21 06:00:00","2026-04-21 13:23:19","","2026-04-21 13:07:56","","","","","","","657.43","","","","As per accepted defect quote QD-2614 - FIP (Ann) dated 27-03-2026.","Replace batteries in building D as per report photos and documents",-33.8183471,150.7818211,"","","","NR","",True,"",False,"","CO-074","Goodman Property Services (Aust) Pty Limited","","[] ","R DETECTION","","00:00:00","Casper Tavitian","Gordon Jenkins"," ",""
41354,"T-41354","2026-04-21 07:46:14","2026-04-21 12:43:35","SQ-0796 Works","Survey Quote - Dry Fire - Fire Trip Cabling","**Scope of Works**

Attend site at WP CFC to assess and provide a quotation for the installation of fire trip cabling required for a proposed rapid door, replacing the existing swing doors.","PERFORMED",5,"39A537","","Coles CFC - 154 Cowpasture Road, Wetherill Park, NSW 2164","","","","The Trustee for Charter Hall Prime Industrial Fund C/- CBRE Pty Ltd CBRE","Alistair McKie","alistair.mckie@charterhallaccess.com.au","",0.0000,"Repair","","154 Cowpasture Road, Wetherill Park, NSW, 2164, Australia","Wetherill Park","2164","Gordon Jenkins","","Casper Tavitian","Gordon Jenkins","","","","","2026-04-21 10:00:00","2026-04-21 12:43:35","","2026-04-21 12:43:15","","","","","","Wo No 2564807, Job No 30217408","450.00","","","","","Checked location of rapid door will need two days to men may have to do it out of hours we need to check if we need to hire a small scissor lift or will there be one on site?
Two bundles of 20 mm conduit box of elbows
A box of plastic saddles
200 m of twisted cable
Program fire system and test",-33.8419842,150.8766088,"","**Inductions**
- CM3 and SinePro
Sign in on Sine-Pro Ipad 
- Stephen Barks - 0482934104

ASE alarm: 86990 - ADT
Techs required to Sign in & OUT

Access requirement:
Notify designated contract manager

Your name
Company name
Purpose of the visit
Date and time of arrival
Expected duration of stay
Names of all individuals attending","","NR","",True,"",False,"","CO-031","Charter Hall Holdings Pty Ltd","","[] ","R DETECTION","","","Casper Tavitian","Gordon Jenkins"," ",""
40096,"T-40096","2026-04-14 10:39:10","2026-04-16 13:29:14"," carry out a one off test to the sprinkler systems x 2 and carry out monthly FIP test. Complete AS1…"," carry out a one off test to the sprinkler systems x 2 and carry out monthly FIP test. Complete AS1851 TEST SHEET.","Automatic Fire Sprinkler SystemOne off monthly test to AS1851.2-2012 as per clause 2.3 A, B, C including 
2 x 100mm Tyco Sprinkler Control Valve Sets 
Manual Electric Pressure Jacking Pump
Anti-tamper valve monitoring system
Tyco Fire Alarms Monitoring Facility Testing only
Fire Detection & Alarms System/Building Occupant Warning System

One off monthly test to AS1851.6-2012 as per clause 6.3 - A, B, and C including ..
Ampac Model FireFinder Plus Fire Indicator Panel 
","PERFORMED",5,"P1094 Cranebrook Village","","80 Borrowdale Way, Cranebrook","","","210","C/- Savills (NSW) Pty Ltd","Alister Wishart","awishart@savills.com.au","",0.0000,"Callout","","80 Borrowdale Way, Cranebrook NSW 2749, Australia","Cranebrook","2749","Gordon Jenkins","","Jamie Wright","Gordon Jenkins","","","","","2026-04-16 13:00:00","2026-04-16 13:29:14","","2026-04-16 13:09:17","","","","","","","","","","","","Monthly tested installation one and three also Fire panel all operational photos and documents",-33.7199645,150.7101569,"CA","Call Alister Wishart of Savills for access 
0473 522 175","","BH","",True,"",False,"","CO-1729","Savills ( NSW) Pty Ltd","","[] ","R DETECTION","","","Jamie Wright","Gordon Jenkins"," ",""
39187,"T-39187","2026-04-09 11:54:11","2026-04-20 16:01:35","","Callout - FIP False Alarm - Scope for detector replacement","The FIP has gone into alarm for Zone 1 (Warehouse – North West Corner).

A technician is required to attend site to investigate the cause of the alarm and carry out rectification where applicable.

It is noted that the detectors may have exceeded their service life. The client has requested that we assess and scope the replacement of the detectors and, if necessary, the panel.

Please conduct a detailed investigation to determine the cause of the alarms, and provide a clear scope of works outlining required materials, labour, and any recommended upgrades.","PERFORMED",5,"39056","","Bronson & Jacobs - 70 Marple Avenue, Villawood, NSW 2163","","2019-05-15","","George Vasili & Nick Vasili C/- CBRE","Wayne Zhang","wayne.zhang@cbre.com","",460.0000,"Callout","","70 Marple Avenue, Villawood, NSW, 2163, Australia","Villawood","2163","Gordon Jenkins","","Casper Tavitian","Gordon Jenkins","","","2026-04-09","","2026-04-09 12:30:00","2026-04-09 13:25:51","","2026-04-09 12:50:54","","","","","","Email received 9.04.2026 (docs) ","","","","","","Attended site on 20/04/2026. The fire brigade had reset the panel prior to arrival, preventing determination of the cause of alarm activation. The alarm was recorded in Zone 1.",-33.8851792,150.9809441,"","Site Contact: Bonnie or Anware. NB: Long Sleeved Flamesafe Shirts Required
Marco Jung (CBRE) 0408 107 504
CBRE Rapid Inductions & Sign in Required","","NR","",True,"",False,"","CO-038","C.B Richard Ellis Pty Ltd","","[] ","R DETECTION","","01:00:00","Casper Tavitian","Casper Tavitian"," ",""
39012,"T-39012","2026-04-08 12:11:16","2026-04-10 13:17:19","Callout - Failed OWS ","Callout - Failed OWS ","","PERFORMED",5,"39A116 AU106","","Goodman AU106 - M5 Industry Park - Building 1 -  1 Moorebank Avenue, Moorebank, NSW 2170","","2021-04-06","","Goodman Property Services (Aust) Pty Limited  SC01822","Lisa Harmer","Lisa.Harmer@goodman.com","",460.0000,"Callout","","1 Moorebank Avenue, MOOREBANK, NSW, 2170, Australia","Moorebank","2170","Gordon Jenkins","","Casper Tavitian","Gordon Jenkins","","","","","2026-04-08 12:00:00","2026-04-08 13:28:49","","2026-04-08 13:26:57","","","","","","","","","","","","Checked fire system. OWS not operational due to failed power supply. Power supply replacement required before further diagnostics can proceed.",-33.9296217,150.9300115,"CA","Andy 0416559771 - Recall Library Key for Aircon Room Eugene 0419257081
Testing of Bldg 2B fire services to be reinstated as from April 1, 2022
Goodman: Lisa Harmer 0482 919 973","","OA","",True,"",False,"","CO-074","Goodman Property Services (Aust) Pty Limited","","[] ","R DETECTION","","","Casper Tavitian","Casper Tavitian"," ",""
38249,"T-38249","2026-04-02 11:37:57","2026-04-10 09:10:08","Call-Out - Mech Fire Trip ","Call-Out - Mech Fire Trip ","Dry Fire Tech required to attend and assist T&M Air conditioning with trip test.

","PERFORMED",10,"39A449","","223-225 Liverpool Street, Darlinghurst, NSW 2010","","2026-07-08","","Forza Capital Pty Ltd ATF Forza Liverpool Street Fund C/- CBRE Pty Ltd NSW Rents Trust","Jordan Ghali","jordan.ghali@cbre.com","",460.0000,"Callout","","223-225 Liverpool Street, Darlinghurst, NSW, 2010, Australia","Darlinghurst","2010","Gordon Jenkins","","Casper Tavitian","Gordon Jenkins","","","2026-04-10","","2026-04-10 07:00:00","2026-04-10 09:10:08","","2026-04-02 12:00:54","","","","","","","","","","","","Alarm tested Fire system for trip test
All working
Car park exhaust fan has no indication when in order
The pump room exhaust fan doesn’t start on pump run",-33.8775295,151.2140507,"","**1 weeks notice required** - Jordan Ghali - 
myBuildings Checkin App - Contractor ID: 2472 and PIN: 209.
Please ensure to have the app on your device and check in on arrival to site as a contractor obligation. 7am Starts preferred and 1 weeks notice","5213 key box","NR","",True,"",False,"","CO-2740","Forza Capital Pty Ltd ATF Forza Liverpool Street F","","[] ","R DETECTION","","02:00:00","Casper Tavitian","Gordon Jenkins"," ",""
37324,"T-37324","2026-03-31 07:11:57","2026-03-31 10:52:56","2 industrial fans inspection","2 industrial fans inspection","As discussed, we currently have 2 industrial fans (is that right, Brian?) that are tagged out and are not connected to the fire trip.

Could you please arrange for someone to be onsite tomorrow to re-connect and get the fans running.

Owners are requesting the fans be operational ASAP.

Site contact is Brian Castle - 0466 764 962

Appreciate your assistance.

Let me know what information you require
Damien Luksic


Senior Facilities Manager


","PERFORMED",5,"39A679","","Jacfin Ricoh - 4  Telopea Place, Eastern Creek, NSW 2766","","","","FlameSafe Warranty (Contracts)","Jack Santangelo","","",460.0000,"Callout","","4 Telopea Pl, Eastern Creek NSW 2766, Australia","Eastern Creek","2766","Gordon Jenkins","","Jamie Wright","Gordon Jenkins","","","","","2026-03-31 11:00:00","2026-03-31 10:52:56","","2026-03-31 09:14:21","","","","","","Damien Luksic","","","","","","Check the ass fans turned off checked fire trip seems to be connected back to the Fire panel. Need to find out the connections in the big ass fan itself so we can connect the panel correctly.",-33.8114484,150.8327009,"CA","Damien Luksic - 0436 016 268  (Knight Frank)
Brian Castle - 0466 764 962 (Ricoh - tenant)","","OA","",True,"",False,"","","FlameSafe Warranty (Contracts)","","[] ","R DETECTION","","","Jamie Wright","Gordon Jenkins"," ",""
37226,"T-37226","2026-03-30 14:59:20","2026-03-31 09:14:11","Wagner Fault Investigation","Wagner Fault Investigation","Zone 223, Wagner in Fault requires investigation","PERFORMED",5,"39A382","","ASICS - 6 Darling Street, Marsden Park - NSW 2765","","2020-08-10","1046","Ganian Pty Ltd ATF Blacktown Waste & Quarrying Land Unit Trust","Ned Supanimitsiri","ned.supanimitsiri@sydneybusinesspark.com.au","",460.0000,"Callout","","6 Darling Street, Marsden Park, NSW, 2765, Australia","Marsden Park","2765","Gordon Jenkins","","Jamie Wright","Gordon Jenkins","","","","","2026-03-31 09:00:00","2026-03-31 09:14:11","","2026-03-31 08:48:26","","","","","","Thomas Cupitt","","","","","","Call out to asics due to fault on Wagner adjusted airflow on all Wagners fault now clear photos in documents",-33.715051499999994,150.8403444,"CA","Thomas Cupitt 04 3819 5700
Strictly call only Ned Supanimitsiri  (SBP) 0499 816 529 for access 
All technicians are required to sign in using the Sine application. They must download the app, set up their profiles, and, for their first sign-in, register as a VISITOR. They will then be added to the CONTRACTOR list and receive a notification.
Please note that signing is separate from site-specific sign-ins, which must still be completed as required.
If you have any questions or concerns about the Sine sign-in process, please address them now.
Going forward, this procedure must be strictly followed. Anyone found on-site without signing in will be asked to leave.

Sydney Business Park signing in on Sine will come up on proximity under “Ganian Pty Limited – Astoria St, Marsden Park, NSW” with Sydney Business Park logo on it.

It will not be the exact address they are carry out their scheduled work.","","OA","",True,"",False,"","CO-2314","Ganian Pty Ltd","","[] ","R DETECTION","","","Jamie Wright","Gordon Jenkins"," ",""
37159,"T-37159","2026-03-30 11:39:40","2026-04-13 12:28:41","QD-2520 Works","AFSS Inspection Report Feb 2026","Dear Customer,

We hope you're doing well. Following our routine annual testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below:

Section 2 – Assessment results and observations
1.  Automatic Fire Suppression System
At the time of assessment, the following non-compliances were observed that are required to be rectified:
-  There are two big ass fans in the warehouse that do not trip on the fire alarm. The fans need to shut off when the fire alarm is activated as they will obstruct the flow of water from the sprinklers.
-  The automation section requires a fire trip installed to shut down on the fire alarm. The details of the fire trip need to be updated on the zone block plan.

**Kindly note further quote may be required after initial investigation.** If you have any questions or need further clarification, feel free to reach out.

Thank you for your understanding and continued support.","PERFORMED",5,"39A679","","Jacfin Ricoh - 4  Telopea Place, Eastern Creek, NSW 2766","","","","FlameSafe Warranty (Contracts)","Jack Santangelo","","",0.0000,"Repair","","4 Telopea Pl, Eastern Creek NSW 2766, Australia","Eastern Creek","2766","Gordon Jenkins","","","Gordon Jenkins","","","","","2026-04-13 06:00:00","2026-04-13 11:45:52","","2026-04-13 05:51:00","","","","","","Damien Luksic - approved AFSS","1325.00","","","","As per accepted defect quote QD-2520 dated 13-03-2026.","Site Attendance 13th of April 2026 

FlameSafe Technician attended.

Mechanical Contractors did not attend to conduct Trip Test. 

Technician left site. Re-quotation and Re-attendance required.",-33.8114484,150.8327009,"CA","Damien Luksic - 0436 016 268  (Knight Frank)
Brian Castle - 0466 764 962 (Ricoh - tenant)","","OA","",True,"",False,"","","FlameSafe Warranty (Contracts)","","[] ","R DETECTION","","00:00:00","Jamie Wright","Casper Tavitian"," ",""
36796,"T-36796","2026-03-27 12:49:59","2026-04-08 12:46:11","Fault notice FIP investigate","Fault notice FIP investigate","Brief Description: WO#339115:Fault notice FIP investigate

Priority: Med

DETAILS
Property: (au059) Lidcombe Business Park

Property Address: 3 - 9 Birnie Ave, Lidcombe NSW, 2141


Problem Description: Fault notice FIP investigate Building Manager: Hunter English Building Manager","PERFORMED",5,"39A418 AU059","","Goodman AU059 Lidcombe Business Park (Buildings A to F) - 3-29 Birnie Avenue  LIDCOMBE, 2141, NSW","","2021-05-23","","Goodman Property Services (Aust) Pty Limited SC01822","Hunter English","hunter.english@goodman.com","",460.0000,"Callout","","Site B 3-29 Birnie Avenue, Lidcombe, NSW, 2019, Australia","Lidcombe","2141","Darren Brailey","","Jamie Wright","Darren Brailey","","","","","2026-03-27 13:10:00","2026-04-08 12:20:56","","2026-03-27 13:00:11","","","","","","Work Order No: 339115  Purchase Order No: 592498","","","","Darren 27/3/26. 
Arrived on site and found building D FIP having a OWS fault in unit D2 through to unit D4. 
Checked in units D2,3,4 to look for any building work. 
Requires two technicians to find fault.","","**Site Attendance – 27/03/26**

A technician attended site and identified a fault on the FIP associated with the OWS system (Buildings D2–D4).

A site walkthrough was conducted, including visual inspection of the OWS system, with no defects observed.

Further fault-finding is required. This will involve two technicians for a minimum of four hours to investigate and attempt rectification. Should additional labour and/or materials be required, a separate quote will be provided prior to commencing further works.",-33.8555873,151.0604181,"","Hunter English
Property manager
hunter.english@goodman.com
0409 307 005

","","NR","",True,"",False,"","CO-074","Goodman Property Services (Aust) Pty Limited","","[] ","R DETECTION","","","Jamie Wright","Casper Tavitian"," ",""
